,SAMPLE ID,IGSN,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,FE2O3T,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,NI,ZN,SR87_SR86,ND143_ND144,E_ND,PB206_PB204,PB207_PB204,PB208_PB204,HF176_HF177,E_HF,AR40_RG,AR38_AR36,AR40_AR36,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,BA,CR,CS,GA,HF,NB,NI,PB,RB,SC,SR,TA,TH,U,V,Y,ZN,ZR,DELTA_MG25,DELTA_MG26
11,PETDB-3211-R080-2.8-3.5,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,28.8,4.3,20.1,5.4,1.84,5.8,0.94,5.3,1.03,2.61,0.381,2.16,0.309,110,,,,3.89,13.6,,0.89,6.3,31,305,0.93,0.91,0.3,,28.5,,151,,
12,PETDB-3211-R127-1.4-2.2,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,30.9,4.5,21.2,5.6,1.87,5.8,0.93,5.3,1.03,2.63,0.369,2.06,0.296,105,,,,3.95,15,,0.85,8.4,32,332,1.01,0.95,0.33,,28.8,,157,,
13,PETDB-3211-R129-5.8-6.5,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,23.1,3.5,16.7,4.7,1.59,5,0.82,4.6,0.91,2.34,0.335,1.86,0.257,83,,,,3.28,10.4,,0.78,4.1,31,267,0.74,0.65,0.22,,25.7,,131,,
14,PETDB-3211-R149-1.2-1.6,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,31.4,4.6,21.4,5.8,1.94,5.8,0.95,5.4,1.05,2.62,0.366,2.15,0.297,108,,,,4.05,15.6,,0.85,7.3,33,336,1.2,0.95,0.33,,29.7,,160,,
15,PETDB-3211-R154-2.1-2.95,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,16.7,2.6,12.3,3.5,1.21,3.5,0.6,3.6,0.59,1.76,0.262,1.44,0.205,57,,,,2.46,7.4,,0.48,5.2,25,209,0.6,0.5,0.15,,18.9,,94,,
16,PETDB-3211-R155-2.7-3.5,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,20.6,3.1,14.7,4.1,1.41,4.1,0.7,4,0.77,1.94,0.276,1.59,0.226,73,,,,2.8,9.6,,0.57,3.2,26,236,0.68,0.57,0.21,,22.3,,112,,
17,PETDB-3211-R158-1.75-2.10,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,29.2,4.3,19.7,5.3,1.8,5.3,0.88,5,0.97,2.5,0.356,2.03,0.285,95,,,,3.82,14.4,,0.8,6,29,315,1.11,0.9,0.33,,27.1,,146,,
18,PETDB-3211-R162-1.55-2.3,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,30.3,4.4,20.7,5.5,1.89,5.5,0.93,5.3,1.02,2.51,0.357,2.06,0.279,106,,,,3.93,15.2,,0.83,7.1,32,325,1.09,0.92,0.34,,28.6,,154,,
19,PETDB-3211-R198-0.5-1.9,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,18,2.7,12.6,3.4,1.16,3.4,0.57,3.3,0.62,1.63,0.242,1.35,0.184,68,,,,2.38,8.8,,0.5,3.9,28,208,0.71,0.56,0.22,,18,,92,,
20,PETDB-3211-R204-1.1-1.8,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,14.3,2.1,9.9,2.8,0.94,2.7,0.45,2.7,0.51,1.3,0.198,1.06,0.144,48,,,,1.88,7.1,,0.38,2.9,24,172,0.57,0.43,0.19,,14.5,,74,,
21,PETDB-3211-R205-7.5-8.15,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,14.7,2.2,10.3,2.8,0.97,2.8,0.49,2.7,0.51,1.3,0.193,1.08,0.149,68,,,,1.91,7.6,,0.55,2.2,24,173,0.59,0.43,0.15,,15.1,,79,,
22,PETDB-3211-R210-3.3-3.95,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,XENOLITH,HYALOCLASTITE,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,26.5,4,19.3,5.5,1.83,5.6,0.94,5.5,1.09,2.8,0.412,2.33,0.313,76,,,,3.94,10.6,,0.99,5.9,32,275,0.85,0.66,0.26,,30.5,,154,,
23,PETDB-3211-R219-5.5-7.7,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,28.5,4.3,20.2,5.5,1.85,5.5,0.93,5.4,1.03,2.57,0.371,2.12,0.307,90,,,,3.92,12.2,,0.8,6.4,30,307,0.87,0.75,0.28,,29.5,,154,,
24,PETDB-3211-R219-8.0-8.8,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,13,32.1,4.7,21.7,5.9,1.99,5.7,0.96,5.4,1.03,2.6,0.38,2.11,0.294,117,,,,3.95,16.2,,1.04,4.7,33,384,1.11,0.94,0.31,,29.4,,158,,
25,PETDB-3214-SR0166-1.3,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,35.1,5.37,25.3,6.66,2.3,7.02,1.11,6.04,1.12,2.8,0.383,2.17,0.3,156,407,,,4.8,16.1,,1.07,2.06,29.2,350,1.07,1.12,0.28,,31.1,,189,,
26,PETDB-3214-SR0166-6.8,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,35.2,5.37,25.5,6.74,2.37,6.99,1.11,6.03,1.11,2.82,0.386,2.19,0.308,118,390,,,4.77,16.3,,1.04,1.14,29.2,391,1.09,1.1,0.223,,31.7,,188,,
27,PETDB-3214-SR0167-1.6,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,37.3,5.86,27.5,7.37,2.49,7.71,1.22,6.65,1.25,3.14,0.422,2.38,0.339,208,328,,,5.2,17.6,,1.22,1.92,30.1,367,1.16,1.23,0.511,,35.6,,203,,
28,PETDB-3214-SR0167-5.9,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,37.4,5.67,26.2,7.13,2.31,7.27,1.14,6.31,1.2,2.9,0.393,2.33,0.323,137,312,,,5.07,16.5,,1.18,1.38,29.3,375,1.16,1.14,0.26,,32.8,,193,,
29,PETDB-3214-SR0168-2.9,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,35.8,5.53,26.7,7.05,2.42,7.33,1.14,6.24,1.16,2.9,0.384,2.27,0.32,157,317,,,4.94,17,,1.04,1.42,30.8,380,1.13,1.15,0.239,,33.4,,196,,
30,PETDB-3214-SR0801-17.6,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,24.4,3.66,17.1,4.58,1.57,4.93,0.791,4.51,0.87,2.21,0.314,1.78,0.25,87.4,643,,,3.19,12.6,,0.8,5.09,27.5,251,0.88,0.77,0.238,,24.5,,126,,
31,PETDB-3214-SR0803-0.0,,EARTHCHEMDB,10.1016/j.gca.2016.01.015,COMPOSITIONAL VARIATION WITHIN THICK (>10M) FLOW UNITS OF MAUNA KEA VOLCANO CORED BY THE HAWAII SCIENTIFIC DRILLING PROJECT,GEOCHIM COSMOCHIM ACTA,"HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,9.71,24.1,3.6,17.1,4.52,1.55,4.84,0.777,4.5,0.87,2.22,0.307,1.76,0.251,109,671,,,3.22,12.6,,0.8,2.44,28,243,0.82,0.74,0.289,,24.7,,123,,
